Students,Showers,STEM,Asian,White,# Of People In Household,Follow A Religion,Work Load (Hrs),# of Units,,,,,,,,95%,alpha 5,,,,,,,
1,7,0,1,0,5,1,15,15,,,,,,,,99%,1,,,,,,,
2,10,0,1,0,4,1,30,14,,,,,,,,,,,,,,,,
3,7,1,1,0,2,0,10,17,,,,,,,,,,,,,,,,
4,9,1,0,1,3,0,10,9,,,,,,,,,,,,,,,,
5,5,1,1,0,5,0,0,12,,,,,,,,SUMMARY OUTPUT,,,,,,,,
6,7,1,0,0,4,0,24,18,,,,,,,,,,,,,,,,
7,7,1,0,1,6,1,5,7,,,,,,,,Regression Statistics,,,,,,,,
8,6,0,0,1,3,0,5,12,,,,,,,,Multiple R,0.528235038,,,,,,,
9,4,0,0,0,7,0,25,13,,,,,,,,R Square,0.279032255,,,,,,,
10,7,0,1,0,3,1,25,15,,,,,,,,Adjusted R Square,0.068749996,,,,,,,
11,12,0,0,0,7,0,20,16,,,,,,,,Standard Error,2.360411215,,,,,,,
12,7,1,1,0,4,1,32,8,,,,,,,,Observations,32,,,,,,,
13,4,1,1,0,3,1,25,7,,,,,,,,,,,,,,,,
14,7,1,1,0,4,1,10,18,,,,,,,,ANOVA,,,,,,,,
15,5,0,0,0,3,1,12,15.5,,,,,,,,,df,SS,MS,F,Significance F,,,
16,8,0,0,1,4,1,16,15,,,,,,,,Regression,7,51.75176356,7.393109079,1.326941495,0.280767014,,,
17,4,0,1,0,4,1,12,18,,,,,,,,Residual,24,133.7169864,5.571541102,,,,,
18,6,0,1,0,2,1,0,16,,,,,,,,Total,31,185.46875,,,,,,
19,5,1,1,0,4,1,10,21,,,,,,,,,,,,,,,,
20,13,1,0,0,4,0,50,19,,,,,,,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,Lower 99.0%,Upper 99.0%
21,12,1,0,1,3,0,40,24,,,,,,,,Intercept,3.585138093,2.931799539,1.222845575,0.23326069,-2.465798759,9.636074945,-4.614927858,11.78520404
22,7,0,0,1,4,0,0,18,,,,,,,,STEM,-0.676931998,1.028160336,-0.658391473,0.516553382,-2.798950636,1.44508664,-3.552634258,2.198770262
23,7,0,0,0,5,1,19,24,,,,,,,,Asian,-0.728569404,1.273395856,-0.572146831,0.572543348,-3.356729279,1.899590471,-4.290180578,2.83304177
24,7,0,1,0,5,1,20,20.5,,,,,,,,White,1.072959999,1.353983012,0.792447165,0.435863685,-1.721523592,3.867443591,-2.714048576,4.859968575
25,11,0,1,0,6,1,16,15,,,,,,,,# Of People In Household,0.258667338,0.351467502,0.735963742,0.468885345,-0.466725935,0.984060611,-0.724366004,1.24170068
26,9,0,0,0,4,1,0,18,,,,,,,,Follow A Religion,0.201724272,1.039092354,0.194135075,0.847703969,-1.942856943,2.346305486,-2.704554182,3.108002726
27,10,0,0,1,2,1,12,21,,,,,,,,Work Load (Hrs),0.075342349,0.038083344,1.978354336,0.059477034,-0.00325781,0.153942508,-0.031174461,0.181859159
28,5,1,0,1,4,0,20,23,,,,,,,,# of Units,0.101673544,0.095572204,1.063840107,0.297988301,-0.095577791,0.298924879,-0.165636129,0.368983217
29,7,0,1,0,5,1,3,16,,,,,,,,,,,,,,,,
30,7,0,0,1,3,0,3,14,,,,,,,,,,,,,,,,
31,5,1,1,0,2,1,35,7,,,,,,,,,,,,,,,,
32,4,1,1,0,3,0,30,14,,,,,,,,RESIDUAL OUTPUT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Observation,Predicted Showers,Residuals,Standard Residuals,,,,,
,,,,,,,,,,,,,,,,1,7.006868046,-0.006868046,-0.003306898,,,,,
,,,,,,,,,,,,,,,,2,7.7766624,2.2233376,1.070515523,,,,,
,,,,,,,,,,,,,,,,3,5.178845104,1.821154896,0.876868446,,,,,
,,,,,,,,,,,,,,,,4,6.425653495,2.574346505,1.239522912,,,,,
,,,,,,,,,,,,,,,,5,4.693055909,0.306944091,0.147790607,,,,,
,,,,,,,,,,,,,,,,6,7.581215616,-0.581215616,-0.27984969,,,,,
